id,titulo,preco,marca,modelo,km,ano,tipo,pot_motor,kit_gnv,cor,combustivel,portas,cambio,direcao,municipio,url,features
460,renaultloganexpressionhi-flex1.68v4p2013-1362196650|olx,33000.0,renault,renaultloganexpressionhi-flex1.68v4p,130000,2013,sedã,1.6,0,outra,flex,4.0,manual,hidráulica,silveiramartins,https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/autos-e-pecas/carros-vans-e-utilitarios/renault-logan-expression-1-6-1362196650,renaultloganexpressionhi-flex1.68v4p 33000.0 renault 130000 2013 sedã 1.6 0 outra flex 4.0 manual hidráulica silveiramartins
461,bydsongplus(hibrido)2024-1362196641|olx,209900.0,byd,bydsongplus(hibrido),100,2024,suv,1.5,0,branco,híbrido,4.0,automático,elétrica,belém,https://pa.olx.com.br/regiao-de-belem/autos-e-pecas/carros-vans-e-utilitarios/r-209-900-byd-song-plus-1-5-hibrido-2023-2024-100km-1362196641,bydsongplus(hibrido) 209900.0 byd 100 2024 suv 1.5 0 branco híbrido 4.0 automático elétrica belém
462,fiatsienael1.4mpifireflex8v4p2013-1362196634|olx,32000.0,fiat,fiatsienael1.4mpifireflex8v4p,120000,2013,sedã,1.4,0,prata,flex,4.0,manual,hidráulica,feiradesantana,https://ba.olx.com.br/regiao-de-feira-de-santana-e-alagoinhas/autos-e-pecas/carros-vans-e-utilitarios/vende-se-siena-2013-1-4-completo-de-tudo-vidro-nas-4--1362196634,fiatsienael1.4mpifireflex8v4p 32000.0 fiat 120000 2013 sedã 1.4 0 prata flex 4.0 manual hidráulica feiradesantana
463,chevroletcorsasedclass.life1.0/1.0flexpower2008-1362196635|olx,11000.0,chevrolet,chevroletcorsasedclass.life1.0/1.0flexpower,188800,2008,,1.0,0,branco,álcool,4.0,,,sãobernardodocampo,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/corsa-classic-branco-basico-2008-aceita-troca-1362196635,chevroletcorsasedclass.life1.0/1.0flexpower 11000.0 chevrolet 188800 2008  1.0 0 branco álcool 4.0   sãobernardodocampo
464,fordrangerxlt2.316v150cvcdrepower.2009-1362196628|olx,45000.0,ford,fordrangerxlt2.316v150cvcdrepower.,254000,2009,pick-up,2.0-2.9,1,preto,gasolina,4.0,manual,hidráulica,sãogonçalo,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/ford-ranger-xlt-cd-ano-2008-modelo-2009-2-3-16v-gasolina-gnv-1362196628,fordrangerxlt2.316v150cvcdrepower. 45000.0 ford 254000 2009 pick-up 2.0-2.9 1 preto gasolina 4.0 manual hidráulica sãogonçalo
465,volkswagentaoshighline1.4250tsiflexaut2022-1354112360|olx,158090.0,volkswagen,volkswagentaoshighline1.4250tsiflexaut,34515,2022,suv,1.4,0,preto,flex,4.0,automático,elétrica,sãopaulo,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-taos-2022-1-4-250-tsi-total-flex-highline-automatico-1354112360,volkswagentaoshighline1.4250tsiflexaut 158090.0 volkswagen 34515 2022 suv 1.4 0 preto flex 4.0 automático elétrica sãopaulo
466,fiatmobilike1.0fireflex5p.2023-1355940620|olx,50990.0,fiat,fiatmobilike1.0fireflex5p.,50421,2023,hatch,1.0,0,branco,flex,4.0,manual,hidráulica,sãopaulo,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-mobi-2023-1-0-evo-flex-like-manual-1355940620,fiatmobilike1.0fireflex5p. 50990.0 fiat 50421 2023 hatch 1.0 0 branco flex 4.0 manual hidráulica sãopaulo
467,fiatcronosdrive1.38vflex2023-1357687777|olx,71490.0,fiat,fiatcronosdrive1.38vflex,46957,2023,sedã,1.0,0,branco,flex,4.0,manual,elétrica,sãopaulo,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-cronos-2023-1-0-firefly-flex-drive-manual-1357687777,fiatcronosdrive1.38vflex 71490.0 fiat 46957 2023 sedã 1.0 0 branco flex 4.0 manual elétrica sãopaulo
468,hyundaihb20sense1.012vflexmec.2024-1348491444|olx,66290.0,hyundai,hyundaihb20sense1.012vflexmec.,48835,2024,hatch,1.0,0,branco,flex,4.0,manual,elétrica,sãopaulo,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-2024-1-0-12v-flex-sense-manual-1348491444,hyundaihb20sense1.012vflexmec. 66290.0 hyundai 48835 2024 hatch 1.0 0 branco flex 4.0 manual elétrica sãopaulo
469,chevrolethatchlt1.012vflexmec.4p2024-1357351518|olx,69990.0,chevrolet,chevrolethatchlt1.012vflexmec.4p,70087,2024,hatch,1.0,0,branco,flex,4.0,manual,elétrica,sãopaulo,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-onix-2024-1-0-flex-lt-manual-1357351518,chevrolethatchlt1.012vflexmec.4p 69990.0 chevrolet 70087 2024 hatch 1.0 0 branco flex 4.0 manual elétrica sãopaulo
