titulo,preco,marca,modelo,km,ano,tipo,pot_motor,kit_gnv,cor,combustivel,portas,cambio,direcao,municipio,url
FORD RANGER XLS SPORT 2.3 16V 150CV CS 2011 - 1361178197 | OLX,R$ 72.500,FORD,FORD RANGER XLS SPORT 2.3 16V 150CV CS,183000,2011,Pick-up,2.0 - 2.9,Não,Branco,Gasolina,2 portas,Manual,Hidráulica,Divinópolis,https://mg.olx.com.br/regiao-de-divinopolis/autos-e-pecas/carros-vans-e-utilitarios/ford-ranger-sport-cabine-simples-diferenciada-e-conservada-1361178197
CHEVROLET CRUZE LT 1.8 16V FLEXPOWER 4P AUT. 2013 - 1361333055 | OLX,R$ 44.990,CHEVROLET,CHEVROLET CRUZE LT 1.8 16V FLEXPOWER 4P AUT.,280000,2013,Sedã,1.8,Não,Branco,Flex,4 portas,Automático,Elétrica,Artur Nogueira,https://sp.olx.com.br/grande-campinas/autos-e-pecas/carros-vans-e-utilitarios/cruze-lt-2013-impecavel--apenas-r-44990-oportunidade-1361333055
MERCEDES-BENZ C-180 KOMPRESSOR CLASSIC 1.6 16V AUT. 2010 - 1362198455 | OLX,R$ 57.900,MERCEDES-BENZ,MERCEDES-BENZ C-180 KOMPRESSOR CLASSIC 1.6 16V AUT.,148000,2010,Sedã,1.6,Não,Prata,Gasolina,4 portas,Automático,Hidráulica,São Lourenço da Mata,https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/c180-kompresso-completissima-1362198455
CHEVROLET CLASSIC LIFE/LS 1.0 VHC FLEXP. 4P 2005 - 1362198434 | OLX,R$ 12.000,CHEVROLET,CHEVROLET CLASSIC LIFE/LS 1.0 VHC FLEXP. 4P,162000,2005,Hatch,1.0,Não,Preto,Flex,4 portas,Manual,Mecânica,Belo Horizonte,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/corsa-classic-2005-motor-vhc-1362198434
HYUNDAI HB20 COMF./C.PLUS/C.STYLE 1.0 FLEX 12V 2016 - 1362198426 | OLX,R$ 46.900,HYUNDAI,HYUNDAI HB20 COMF./C.PLUS/C.STYLE 1.0 FLEX 12V,104000,2016,Hatch,1.0,Não,Prata,Flex,4 portas,Manual,Hidráulica,Fortaleza,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/hb20-comfort-2016-1362198426
NISSAN FRONTIER SE SERRANA CD 4X4 2.8 TB DIES 2004 - 1362198420 | OLX,R$ 42.000,NISSAN,NISSAN FRONTIER SE SERRANA CD 4X4 2.8 TB DIES,400000,2004,Pick-up,2.0 - 2.9,Não,Prata,Diesel,4 portas,,Hidráulica,Natal,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/frontier-se-2004-mwm-4x4-1362198420
CHEVROLET CELTA SPIRIT/ LT 1.0 MPFI 8V FLEXP. 5P 2015 - 1353080941 | OLX,R$ 28.990,CHEVROLET,CHEVROLET CELTA SPIRIT/ LT 1.0 MPFI 8V FLEXP. 5P,140000,2015,Hatch,1.0,Sim,Vermelho,Flex,4 portas,Manual,Hidráulica,Nova Iguaçu,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/celta-lt-1-0-4-portas-2015-completo-1353080941
VOLKSWAGEN TIGUAN 2.0 TSI 16V 200CV TIPTRONIC 5P 2013 - 1362198385 | OLX,R$ 60.000,VOLKSWAGEN,VOLKSWAGEN TIGUAN 2.0 TSI 16V 200CV TIPTRONIC 5P,83500,2013,SUV,2.0 - 2.9,Não,Branco,Gasolina,4 portas,Automático,5,Contagem,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/tiguan-2-0-tsi-2013-c-teto-solar-panoramico-1362198385
CHEVROLET CRUZE LT 1.4 16V TURBO FLEX 4P AUT. 2017 - 1359151539 | OLX,R$ 75.999,CHEVROLET,CHEVROLET CRUZE LT 1.4 16V TURBO FLEX 4P AUT.,67000,2017,Sedã,1.4,Não,Branco,Flex,4 portas,Automático,Hidráulica,Ibiúna,https://sp.olx.com.br/regiao-de-sorocaba/autos-e-pecas/carros-vans-e-utilitarios/cruze-lt-1-4-turbo-valor-oportuno-somente-nesse-final-de-semana-1359151539
VOLKSWAGEN T-CROSS HIGHLINE 1.4 TSI FLEX 16V 5P AUT 2020 - 1362198371 | OLX,R$ 116.990,VOLKSWAGEN,VOLKSWAGEN T-CROSS HIGHLINE 1.4 TSI FLEX 16V 5P AUT,49000,2020,SUV,1.4,Não,Cinza,Flex,4 portas,Automático,Elétrica,Blumenau,https://sc.olx.com.br/norte-de-santa-catarina/autos-e-pecas/carros-vans-e-utilitarios/magnifica-vw-t-cross-highline-250tsi-2020-apenas-49-mil-km-teto-solar-ipva-24-pago-1362198371
FORD KA 1.0 8V/1.0 8V ST FLEX 3P 2009 - 1362198374 | OLX,R$ 15.999,FORD,FORD KA 1.0 8V/1.0 8V ST FLEX 3P,120000,2009,Hatch,1.0,Não,Preto,Flex,2 portas,Manual,Mecânica,São Paulo,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/ford-ka-2009-1362198374
PEUGEOT 208 ACTIVE 1.6 FLEX 16V 5P AUT 2023 - 1362198357 | OLX,R$ 72.850,PEUGEOT,PEUGEOT 208 ACTIVE 1.6 FLEX 16V 5P AUT,58518,2023,Elétrica,1.6,Não,Branco,Flex,4 portas,Automático,Elétrica,Porto Alegre,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/peugeot-208-active-1-6-flex-aut-1362198357
CHEVROLET CLASSIC LIFE/LS 1.0 VHC FLEXP. 4P 2004 - 1362198360 | OLX,R$ 19.000,CHEVROLET,CHEVROLET CLASSIC LIFE/LS 1.0 VHC FLEXP. 4P,156000,2004,Sedã,1.0,Não,Branco,Gasolina,4 portas,Manual,Hidráulica,Natal,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/classic-2003-2004-extra-completo-revisado-1362198360
CHEVROLET S10 PICK-UP LTZ 2.4 F.POWER 4X2 CD 2013 - 1362198351 | OLX,R$ 88.000,CHEVROLET,CHEVROLET S10 PICK-UP LTZ 2.4 F.POWER 4X2 CD,120000,2013,Pick-up,2.0 - 2.9,Não,Preto,Flex,4 portas,Manual,Hidráulica,Belo Horizonte,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/s10-cabine-dupla-ltz-1362198351
HYUNDAI HB20S C.PLUS/C.STYLE 1.6 FLEX 16V MEC.4P 2014 - 1362198345 | OLX,R$ 46.900,HYUNDAI,HYUNDAI HB20S C.PLUS/C.STYLE 1.6 FLEX 16V MEC.4P,73000,2014,Sedã,1.6,Não,Cinza,Flex,4 portas,Manual,Elétrica,Timóteo,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/hb20-c-plus-c-style-1-6-2014-1362198345
FORD KA 1.0 8V/1.0 8V ST FLEX 3P 2013 - 1362198339 | OLX,R$ 27.900,FORD,FORD KA 1.0 8V/1.0 8V ST FLEX 3P,149000,2013,Sedã,1.0,Não,Prata,Flex,2 portas,Manual,Mecânica,Belo Horizonte,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/ford-ka-2013-1-0-mpi-8v-flex-2p-manual-1362198339
RENAULT LOGAN EXPRES. AVANTAGE FLEX 1.0 12V 4P 2019 - 1362198341 | OLX,R$ 38.400,RENAULT,RENAULT LOGAN EXPRES. AVANTAGE FLEX 1.0 12V 4P,66000,2019,Sedã,1.0,Sim,Branco,Flex,4 portas,Manual,Hidráulica,Rio de Janeiro,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/logan-1-0-raridade-nunca-foi-aplicativo-1362198341
FIAT STRADA ENDURANCE 1.4 FLEX 8V C 2023 - 1358979536 | OLX,R$ 83.190,FIAT,FIAT STRADA ENDURANCE 1.4 FLEX 8V C,48576,2023,Pick-up,1.4,Não,Branco,Flex,2 portas,Manual,Hidráulica,Itaguaí,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-strada-2023-1-4-fire-flex-endurance-cs-manual-1358979536
VOLKSWAGEN FOX COMFORTLINE 1.0 FLEX 12V 5P 2016 - 1359641553 | OLX,R$ 49.800,VOLKSWAGEN,VOLKSWAGEN FOX COMFORTLINE 1.0 FLEX 12V 5P,54000,2016,Hidráulica,1.0,Não,Branco,Flex,4 portas,Manual,Hidráulica,São José,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fox-comfortline-1-0-12v-1359641553
VOLKSWAGEN CROSSFOX 1.6 MI TOTAL FLEX 8V 5P 2014 - 1359999897 | OLX,R$ 42.900,VOLKSWAGEN,VOLKSWAGEN CROSSFOX 1.6 MI TOTAL FLEX 8V 5P,102722,2014,Hatch,1.6,Não,Branco,Flex,4 portas,Manual,Hidráulica,Salvador,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/crossfox-1-6-1359999897
FIAT UNO VIVACE CELEB. 1.0 EVO F.FLEX 8V 5P 2012 - 1360037474 | OLX,R$ 27.900,FIAT,FIAT UNO VIVACE CELEB. 1.0 EVO F.FLEX 8V 5P,151000,2012,Hatch,1.0,Não,,Flex,4 portas,Manual,Hidráulica,Brasília,https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/uno-2012-way-1-0-completo-so-df-otimo-estado-manual-do-proprietario-1360037474
HYUNDAI CRETA PRESTIGE 2.0 16V FLEX AUT. 2020 - 1360148600 | OLX,,HYUNDAI,HYUNDAI CRETA PRESTIGE 2.0 16V FLEX AUT.,68000,2020,SUV,2.0 - 2.9,Não,Preto,Flex,4 portas,Automático,Hidráulica,Lauro de Freitas,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/creta-prestige-2-0-1360148600
FIAT CRONOS DRIVE 1.3 8V FLEX 2022 - 1336405661 | OLX,R$ 69.900,FIAT,FIAT CRONOS DRIVE 1.3 8V FLEX,72193,2022,Sedã,1.3,Não,Vermelho,Flex,4 portas,Manual,Elétrica,Belo Horizonte,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/cronos-drive-1-3-s-design-ipva-2025-gratis-1336405661
FIAT STRADA WORKING 1.4 MPI FIRE FLEX 8V CS 2015 - 1358010655 | OLX,R$ 43.990,FIAT,FIAT STRADA WORKING 1.4 MPI FIRE FLEX 8V CS,115000,2015,Pick-up,1.4,Não,Branco,Flex,2 portas,Manual,Mecânica,Guarulhos,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-strada-working-1-4-cs-2015-1358010655
CITROEN C4 CACTUS FEEL 1.6 16V FLEX AUT. 2024 - 1360242856 | OLX,R$ 106.890,CITROEN,CITROEN C4 CACTUS FEEL 1.6 16V FLEX AUT.,10600,2024,SUV,1.6,Não,Cinza,Flex,4 portas,Automático,Mecânica,Itaguaí,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/citroen-c4-cactus-2024-1-6-vti-120-flex-feel-pack-eat6-1360242856
LAND ROVER DISCOVERY3 SE 2.7 4X4 TDI DIESEL AUT. 2009 - 1362198286 | OLX,R$ 60.000,LAND ROVER,LAND ROVER DISCOVERY3 SE 2.7 4X4 TDI DIESEL AUT.,191000,2009,SUV,2.0 - 2.9,Não,Prata,Diesel,4 portas,Automatizado,Hidráulica,Jundiaí,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/land-rover-discovery-3-se-v6-2009-br-br-diesel-turbo-1362198286
VOLKSWAGEN GERAÇÃO VI SPECIAL 1.0 8V TOTAL FLEX MEC. 4P 2016 - 1351053556 | OLX,R$ 38.000,VOLKSWAGEN,VOLKSWAGEN GERAÇÃO VI SPECIAL 1.0 8V TOTAL FLEX MEC. 4P,91330,2016,Hatch,1.0,Não,Branco,Flex,4 portas,Manual,Hidráulica,Curitiba,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/autos-e-pecas/carros-vans-e-utilitarios/vw-gol-special-mb-2016-1351053556
FORD RANGER XLS 2.3 16V 145CV/150CV 4X2 CS 2009 - 1359442293 | OLX,R$ 57.000,FORD,FORD RANGER XLS 2.3 16V 145CV/150CV 4X2 CS,171000,2009,Pick-up,2.0 - 2.9,Não,Prata,Gasolina,2 portas,Manual,Hidráulica,Seara,https://sc.olx.com.br/oeste-de-santa-catarina/autos-e-pecas/carros-vans-e-utilitarios/ranger-cs-2009-impecavel-1359442293
CHEVROLET ONIX HATCH LT 1.0 8V FLEXPOWER 5P MEC. 2019 - 1361275123 | OLX,R$ 51.000,CHEVROLET,CHEVROLET ONIX HATCH LT 1.0 8V FLEXPOWER 5P MEC.,87000,2019,Hatch,1.0,Não,,Flex,4 portas,Manual,Hidráulica,Lagarto,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/onix-lt-2019-2019-1-0-1361275123
CHEVROLET PLUS LT 1.0 12V TB FLEX AUT. 4P 2024 - 1334060459 | OLX,R$ 95.000,CHEVROLET,CHEVROLET PLUS LT 1.0 12V TB FLEX AUT. 4P,10500,2024,Sedã,1.0,Não,Azul,Flex,4 portas,Automático,Elétrica,Araxá,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/autos-e-pecas/carros-vans-e-utilitarios/onix-sedan-turbo-2024-com-10-500km-abaixo-da-fipe-e-na-garantia-1334060459
MERCEDES-BENZ CLS-350 CGI 3.5 306CV AUT. 2012 - 1362198248 | OLX,R$ 115.800,MERCEDES-BENZ,MERCEDES-BENZ CLS-350 CGI 3.5 306CV AUT.,89537,2012,SUV,,Não,,Gasolina,4 portas,Automático,,São Paulo,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/mercedes-benz-classe-cls-gasolina-automatico-1362198248
FORD KA 1.0 SE/SE PLUS TIVCT FLEX 5P 2017 - 1362198238 | OLX,,FORD,FORD KA 1.0 SE/SE PLUS TIVCT FLEX 5P,60900,2017,Hatch,1.0,Não,Cinza,Flex,4 portas,Manual,Elétrica,Brusque,https://sc.olx.com.br/norte-de-santa-catarina/autos-e-pecas/carros-vans-e-utilitarios/sucata-ford-ka-2017-1-0-3c-retirada-de-pecas-1362198238
TOYOTA HILUX CD SRV D4-D 4X4 3.0  TDI DIES 2014 - 1362198233 | OLX,R$ 135.000,TOYOTA,TOYOTA HILUX CD SRV D4-D 4X4 3.0  TDI DIES,172000,2014,Pick-up,3.0 - 3.9,Não,Branco,Diesel,4 portas,Automático,Hidráulica,Fortaleza,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/hilux-srv-top-1362198233
CHEVROLET S10 PICK-UP EXEC. 2.8 4X2 CD TB INT.DIES 2006 - 1362198222 | OLX,R$ 68.000,CHEVROLET,CHEVROLET S10 PICK-UP EXEC. 2.8 4X2 CD TB INT.DIES,111254,2006,Pick-up,2.0 - 2.9,Não,Preto,Diesel,4 portas,Manual,Hidráulica,Caxias do Sul,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-s10-2-8-executive-turbo-intercooler-diesel-2006-1362198222
FIAT IDEA ELX 1.4 MPI FIRE FLEX 8V 5P 2008 - 1362198198 | OLX,R$ 22.500,FIAT,FIAT IDEA ELX 1.4 MPI FIRE FLEX 8V 5P,153000,2008,Hatch,1.4,Não,Preto,Flex,4 portas,Manual,Hidráulica,Belo Horizonte,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-idea-2008-elx-fire-1362198198
HYUNDAI HB20 COMF./C.PLUS/C.STYLE 1.0 FLEX 12V 2017 - 1362198188 | OLX,R$ 43.900,HYUNDAI,HYUNDAI HB20 COMF./C.PLUS/C.STYLE 1.0 FLEX 12V,78000,2017,Hatch,1.0,Não,Prata,Flex,4 portas,Manual,Elétrica,Petrópolis,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/hb20-2017-comfort-1-0-completo-abaixo-da-fipe-1362198188
RENAULT DUSTER DYNAMIQUE 4X4 2.0 HI-FLEX 16V MEC 2013 - 1362198162 | OLX,R$ 47.000,RENAULT,RENAULT DUSTER DYNAMIQUE 4X4 2.0 HI-FLEX 16V MEC,204000,2013,SUV,2.0 - 2.9,Não,Preto,Flex,4 portas,Manual,Hidráulica,Quirinópolis,https://go.olx.com.br/regiao-de-rio-verde-e-caldas-novas/autos-e-pecas/carros-vans-e-utilitarios/duster-2-0-manual-4x4-1362198162
VOLKSWAGEN FOX PRIME/HIGLI. 1.6 TOTAL FLEX 8V 5P 2010 - 1362198140 | OLX,R$ 32.900,VOLKSWAGEN,VOLKSWAGEN FOX PRIME/HIGLI. 1.6 TOTAL FLEX 8V 5P,117000,2010,Mecânica,1.6,Não,Prata,Flex,4 portas,Automático,Mecânica,Curitiba,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-fox-1-6-prime-gii-2010-1362198140
FIAT 1.0 6V FLEX 2023 - 1362198139 | OLX,R$ 71.900,FIAT,FIAT 1.0 6V FLEX,52418,2023,Sedã,,Não,Preto,Flex,4 portas,Manual,Elétrica,Betim,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-cronos-drive-1-0-6v-flex-1362198139
FIAT TORO RANCH 2.0 16V 4X4 DIESEL AUT. 2022 - 1362198133 | OLX,R$ 139.990,FIAT,FIAT TORO RANCH 2.0 16V 4X4 DIESEL AUT.,40478,2022,Pick-up,2.0 - 2.9,Não,Branco,Diesel,4 portas,Automático,Elétrica,Recife,https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/fiat-toro-ranch-diesel-4x4-automatica-baixa-km-vistoria-cautelar-2022-1362198133
CHEVROLET S10 P-UP EXECUTIVE 2.4 MPFI F.POWER CD 2010 - 1362198135 | OLX,R$ 50.900,CHEVROLET,CHEVROLET S10 P-UP EXECUTIVE 2.4 MPFI F.POWER CD,209000,2010,Pick-up,2.0 - 2.9,Não,Preto,Flex,,Manual,Hidráulica,Manaus,https://am.olx.com.br/regiao-de-manaus/autos-e-pecas/carros-vans-e-utilitarios/vendo-ou-troco-por-carro-inferior-e-mais-volta-em-dinheiro-1362198135
FIAT STRADA VOLCANO 1.3 FLEX 8V CD AUT. 2023 - 1358933946 | OLX,R$ 113.900,FIAT,FIAT STRADA VOLCANO 1.3 FLEX 8V CD AUT.,38000,2023,Pick-up,1.3,Não,Preto,Flex,4 portas,Automático,Elétrica,Ribeirão Preto,https://sp.olx.com.br/regiao-de-ribeirao-preto/autos-e-pecas/carros-vans-e-utilitarios/strada-volcano-automatica-1-3-cd-38-mil-km-1358933946
HONDA CITY SEDAN EXL 1.5 FLEX  16V 4P AUT. 2023 - 1362197633 | OLX,R$ 108.500,HONDA,HONDA CITY SEDAN EXL 1.5 FLEX  16V 4P AUT.,23,2023,Sedã,1.5,Não,Prata,Flex,4 portas,Automático,Elétrica,Campo Grande,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/honda-city-exl-prata-2022-2023-1362197633
FIAT SIENA EL 1.0 MPI FIRE FLEX 8V 4P 2013 - 1362197910 | OLX,R$ 29.990,FIAT,FIAT SIENA EL 1.0 MPI FIRE FLEX 8V 4P,79800,2013,Sedã,1.0,Não,Preto,Flex,4 portas,Manual,Hidráulica,Uberlândia,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/autos-e-pecas/carros-vans-e-utilitarios/siena-el-1-0-1362197910
